anio;pais;pais_iso2;pais_normalizado;pais_dash;pais_es;lat;long;ciudad;Organización;convocatoria;imagen_url;temas_ocr/themes;posible_duplicado_2425
2019;Reino Unido;GB;United Kingdom;united-kingdom;Reino Unido;52.4790117;-1.8823126;Birmingham;;https://web.facebook.com/events/954599731412650/;;;FALSE
2019;Reino Unido;GB;United Kingdom;united-kingdom;Reino Unido;50.8237;-0.143604;Brighton;;https://web.facebook.com/events/2027189264069831/;;;FALSE
2019;Reino Unido;GB;United Kingdom;united-kingdom;Reino Unido;51.45285995;-2.5975180867159087;Bristol City Centre;;https://web.facebook.com/events/306275270092255/;;;FALSE
2019;Reino Unido;GB;United Kingdom;united-kingdom;Reino Unido;51.486239350000005;-3.161001222926849;Cardiff;;https://web.facebook.com/events/825310187853769/;;;FALSE
2019;Reino Unido;GB;United Kingdom;united-kingdom;Reino Unido;55.94949;-3.189989;Edimburgh;;https://web.facebook.com/events/2011555729144267/;;;FALSE
2019;Reino Unido;GB;United Kingdom;united-kingdom;Reino Unido;53.7974628;-1.542446;Leeds;;https://web.facebook.com/events/290103251659161/;;;FALSE
2019;Reino Unido;GB;United Kingdom;united-kingdom;Reino Unido;53.4021827;-2.9746561;Liverpool;;https://web.facebook.com/events/1166418980181831/;;;FALSE
2019;Reino Unido;GB;United Kingdom;united-kingdom;Reino Unido;51.51416175;-0.0889386810599441;London;;https://web.facebook.com/events/602495220172250/;;;FALSE
2019;Reino Unido;GB;United Kingdom;united-kingdom;Reino Unido;51.5173221;-0.0640632173967239;London, Latinx ;;https://web.facebook.com/events/2351861148425701/;;;FALSE
2019;Reino Unido;GB;United Kingdom;united-kingdom;Reino Unido;51.510745;-0.130123;London, Sex Work Strike;;https://web.facebook.com/events/384538689024353/;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-34.907203;-56.171172;AFFUR;;https://scontent.fmvd2-1.fna.fbcdn.net/v/t1.0-9/52924195_1472770572853559_7615222541908443136_n.jpg?_nc_cat=100&_nc_ht=scontent.fmvd2-1.fna&oh=0328d6a2112ad9501b24f9510082f6da&oe=5D20BE81;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-34.905747;-56.185289;Afrogama y La Melaza;;https://www.facebook.com/pg/lamelazacandombepagina/events/?ref=page_internal;;;FALSE
2019;Uruguay;UY;Uruguay;uruguay;Uruguay;-34.2022179;-54.7678379;Aiguá;Colectiva Sorora;;;;FALSE
